file_path,scenario_id,prompt_name,run_id,model_name,repeat_idx,image_path,task_text,inference_time_sec,json_parse_ok,error
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r3.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,3,,Pick up the darker box.,6.488729173999673,True,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r4.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,4,,Pick up the darker box.,5.528833035999924,True,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r10.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,10,,Pick up the darker box.,5.765152968000621,True,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r1.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,1,,Pick up the darker box.,11.53921276699839,True,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r8.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,8,,Pick up the darker box.,6.2537185109995335,True,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r9.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,9,,Pick up the darker box.,6.327211792000526,True,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r7.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,7,,Pick up the darker box.,6.15413081099905,True,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r5.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,5,,Pick up the darker box.,5.5934316019993275,True,
sb_only_graph/graph_sides/2026-03-16_13-10-15/o3/sb_only_graph__o3__graph_sides__no_image__r7.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,7,,Pick up the darker box.,15.326386028000343,True,
sb_only_graph/graph_sides/2026-03-16_13-10-15/o3/sb_only_graph__o3__graph_sides__no_image__r8.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,8,,Pick up the darker box.,15.531848660000833,True,
